"BusinessUnit","UseCase","Headlines","Opportunity","Evidence","BusinessValue","AITheme","PrimaryContact","TargetPersonas","Phase","Status","VendorName","ModelName","InformationLink","Created","Created By","Priority","TeamName","SubTeamName","ID","Modified","Modified By","AI Product Checklist","ESE Resources Needed","RespondedBy"
"","AI Agent for UKG Pro WFM Managed Application Services","AI Agent has been crated to create any process related documents like-PDD, IDD, DTD and to answer anything related to UKG Pro WFM Managed Application Services- Boomi, Advanced Scheduling, Data Hub or any process related doubts & much more.","AI Agent has been crated to create any process related documents like-PDD, IDD, DTD and to answer anything related to UKG Pro WFM Managed Application Services- Boomi, Advanced Scheduling, Data Hub or any process related doubts & much more.","1.Enhanced AI Awareness and Confidence
2.Significant Time Reduction
3.Consistency and Standardization of Output
4.Improved Creativity and Problem-Solving
5.24x7 Support and Instant Query Resolution
6.Quality and Accuracy Enhancement","1.Enhanced AI Awareness and Confidence
2.Significant Time Reduction
3.Consistency and Standardization of Output
4.Improved Creativity and Problem-Solving
5.24x7 Support and Instant Query Resolution
6.Quality and Accuracy Enhancement","Intelligent Document Processing,Information Retrieval,Document Summarization,Data Extraction,Sentiment Analysis","Ashish Kumar","Business Operations, Delivery & Enablement,Implementation Managers,Project & Program Manager,U Krewer","Idea","Not Started","Open AI","ChatGPT","","12/11/2025 9:54 AM","Ashish Kumar","Not a Priority","CX","","496","12/11/2025 10:01 AM","Ashish Kumar","False","False","Owner"
"","Configuration Validator​","Automatically verify system setup against UKG configuration standards.​","Purpose: Automatically verify system setup against UKG configuration standards.​
Inputs: Exported configuration files or API data.​
Outputs: Pass/fail report + remediation steps or corrections suggested​
","","Saves 6–8 hours per configuration review.​
Reduces configuration-related defects by 30–40%.​
","Predictive Modeling / Recommender","Rose Russell","Implementation Managers","Idea","Not Started","","","https://engjira.int.kronos.com/browse/UKG-9916","12/10/2025 5:41 PM","Rose Russell","Not a Priority","ESECX","Engineering","495","12/10/2025 5:42 PM","Rose Russell","False","False",""
"","Best Practices Advisor","Recommend optimal configurations and integrations based on customer industry and size.​","Purpose: Recommend optimal configurations and integrations based on customer industry and size.​
Inputs: Client profile, system landscape, and UKG configuration templates.​
Outputs: Architecture diagram + recommended deployment steps.​

Purpose: Generate tailored best-practice recommendations for deployment, configuration, and data setup.​
Inputs: Customer use case and module in focus (e.g., Payroll, Time, HCM).​
Outputs: Dynamic checklists or guides.​

Persona: Professional Services Consulting​ U Krewers: 1,285​
","","Reduces design cycle time by 50%.​
Ensures consistent architecture documentation across 100% of projects.​
Reduces post-go-live rework by 15–25%.","Predictive Modeling / Recommender","Rose Russell","Implementation Managers","Idea","On-Track","","","https://engjira.int.kronos.com/browse/UKG-9916","12/10/2025 5:35 PM","Rose Russell","Not a Priority","ESECX","Engineering","494","12/16/2025 9:46 AM","Frances Hopple","False","False","Champion"
"","Requirements Mapping Agent​","Parse customer interview notes or documents and auto-map business requirements to UKG product","Requirements Mapping Agent​
Purpose: Parse customer interview notes or documents and auto-map business requirements to UKG product
modules/features.​
Inputs: Client meeting transcripts, business requirement documents (BRDs).​
Outputs: Mapped requirements matrix with suggested configurations or customizations.​
Persona: Professional Services Consulting​ U Krewers: 1,285​
","","Reduces analysis time by 60–70%.​

Increases mapping accuracy by 15–20% through pattern recognition.​","Intelligent Document Processing","Rose Russell","Implementation Managers","Idea","Not Started","","","https://engjira.int.kronos.com/browse/UKG-9916","12/10/2025 5:31 PM","Rose Russell","Not a Priority","ESECX","Engineering","493","12/10/2025 5:32 PM","Rose Russell","False","False",""
"","Implementation Readiness Checker","Verify that all prerequisites (hardware, credentials, licenses, data imports) are ready before go-live.​","Implementation Readiness Checker​
Purpose: Verify that all prerequisites (hardware, credentials, licenses, data imports) are ready before go-live.​
Inputs: Implementation checklist and project documentation.​
Outputs: Readiness score + list of outstanding items.​
Persona: Professional Services Consulting​ U Krewers: 1,285​","","Cuts pre-go-live prep effort by 40–50%. ​
Reduces last-minute implementation delays by 25%.","Intelligent Document Processing","Rose Russell","Implementation Managers","Idea","Not Started","","","https://engjira.int.kronos.com/browse/UKG-9916","12/10/2025 5:25 PM","Rose Russell","Not a Priority","ESECX","Engineering","492","12/10/2025 5:43 PM","Rose Russell","False","False",""
"","Project Milestone Tracker Agent","Monitor project timelines, track milestones, and alert when deliverables are due or at risk","Project Milestone Tracker Agent​
Purpose: Monitor project timelines, track milestones, and alert when deliverables are due or at risk.​
Inputs: Project plans, meeting notes, CRM data.​
Outputs: Automatic status summaries, Slack or email reminders for milestones and overdue tasks.​
Persona: Professional Services Consulting​ U Krewers: 1,285​","","⏱ Reduces manual tracking time by 3–5 hours per project/week.​
📈 Improves on-time milestone delivery by 20–30%.​","Intelligent Document Processing","Rose Russell","Implementation Managers","Idea","On-Track","","","https://engjira.int.kronos.com/browse/UKG-9917","12/10/2025 4:46 PM","Rose Russell","Not a Priority","ESECX","","491","12/16/2025 9:45 AM","Frances Hopple","False","True","Champion"
"","Feedback Buddy","Feedback Buddy: Automated Jira Insights and Sentiment Analysis for Smarter Project Discussions and Feedback.","Provides a detailed summary of Jira tickets and provides sentiment analysis for feedback discussion with project managers.
AI tool: Copilot, Power Automate.
AI used for summarising the Jira tickets (comments) and providing sentiment analysis based on the summary.","The proposed enhancement will significantly reduce the manual effort required by managers to review and interpret large volumes of Jira ticket data. Currently, each manager must read through 50+ tickets per month—often containing extensive comment threads—and manually assess overall project health. By automatically generating summaries and sentiment reports, managers can quickly understand progress, risks, and blockers without time-consuming review.

Additionally, the ability to segregate data by practice manager ensures that each leader receives only the insights relevant to their teams, improving clarity and enabling more targeted discussions with US practice managers and internal stakeholders. This streamlined access to actionable information will lead to faster decision-making, improved communication, and more proactive issue resolution.

Applying this enhancement to both Ready Check History and Build teams will standardize reporting across critical functions, enhance transparency, and ultimately increase operational efficiency and delivery quality across the organization.","Previous effort: 20–30 minutes required to extract and summarize each ticket.

New effort: All tickets summarized in approximately 2 minutes total.

Efficiency gain:

95%+ reduction in time spent on manual review and summarization.

For an average of 50+ tickets per month, this equates to:

16–25 hours saved per month per manager (previously 17–25 hours vs. now ~2 minutes).

Impact: Significantly faster feedback cycles and substantial reduction in effort spent extracting accurate and relevant information.

","Conversational AI,Sentiment Analysis,Document Summarization,Data Extraction","Avinash Kumar","Business Operations, Delivery & Enablement,Implementation Managers,People Leaders,Communicators,Project & Program Manager","Idea","Not Started","Microsoft","M365 Copilot","","12/10/2025 10:40 AM","Avinash Kumar","Not a Priority","CX","","490","12/10/2025 10:57 AM","Avinash Kumar","False","False","Owner"
"","UKG Perf & Comp Agent","Assist employees with questions and policy during the annual performance and review cycle.","This solution provides real-time support for writing reviews, preparing for calibration, and understanding the compensation planning process - reducing admin work to help Ukrew focus on meaningful conversations.","To answer employee and manager questions about the review and compensation planning process","Reduce confusion and number of support tickets during the annual review process","Conversational AI","Frances Hopple","U Krewer","Idea","On-Track","Microsoft","Custom Copilot Agent","","12/9/2025 2:47 PM","Frances Hopple","Not a Priority","Enterprise Solutions and Experience","Enterprise AI","489","12/10/2025 2:14 PM","Frances Hopple","True","False","Champion"
"","Integration/Extension Family","Multiple Integrations needed to provide desired outcome","Since in Pro WFM we have instances where you have to have multiple integrations/extensions to make a process work, could an AI be created to say ""If you are using this...you need x, y, z as well.""?","In PRO there are many times when layering of extensions and integrations is needed to fully build out a process. For example, I just found out today that when you are using Hours and Dollars and Payout Extensions, you should also use the BITs Extension.  This is something I have been struggling with and trying to solve for a couple of months now.  ","This would save time in setup, testing, troubleshooting and instill confidence in clients because we would know we have the full setup needed to be successful.","[]","Beth Ryder","[]","Idea","Not Started","","","","12/9/2025 11:58 AM","Beth Ryder","Not a Priority","","","488","12/15/2025 12:44 PM","Beth Ryder","False","False","Owner"
"","BDR Quick-Sheet GPT for Prospecting","Give BDRs a one-page, on-brand outreach kit in seconds.","AI generates concise, brand-safe value messaging, talk tracks, and outreach snippets tailored to segment/persona/problem—so BDRs can move from research to first touch fast.","BDRs lose time reinventing messaging and risk drifting from our voice. This GPT bakes in UKG’s tone (simple, human, honest) and signature phrases (e.g., “workforce operating platform,” “people-first AI,” “put workforce understanding to work”) to keep outreach consistent and compliant.","Faster time-to-first-touch and more meetings set through ready-to-send one-pagers.

Consistent brand voice and phrasing across channels without extra reviews.

Lower ramp time for new reps; fewer content bottlenecks for Marketing.

Built-in citation habit for any non-obvious claim to maintain trust and accuracy.","Document Summarization,Information Retrieval,Intelligent Document Processing,Predictive Modeling / Recommender,Sentiment Analysis","Jose Cervantes","Customer Success & Services,Data and Analytics,People Leaders,Business Operations, Delivery & Enablement,Product Management & Business Analysis,U Krewer,Sales / Marketing Agents","Idea","On-Track","Open AI","Custom ChatGPT Agent","https://chatgpt.com/g/g-68b872357e108191865c7d868ca2c93c-bdr-gpt-beta","12/8/2025 3:24 PM","Jose Cervantes","Not a Priority","Customer Value Advisory","Presales","487","12/10/2025 8:31 AM","Don Alexander","True","False","Champion"
"","Manual Journal Entries Posting in D365 ","Transforming Manual JE Processing with a Smart, Automated Uploader Agent.","AI is being used to automate and streamline the end-to-end Journal Entry (JE) posting process by reducing manual steps, validating data automatically, and enabling faster, more accurate submission of entries into D365. Through intelligent data handling, template automation, and workflow optimization, AI minimizes human intervention, improves accuracy, and significantly accelerates financial operations.","The current Journal Entry (JE) posting process in D365 is highly manual, requiring 10–15 minutes per entry and involving multiple repetitive steps such as template handling, data uploads, validations, and workflow submissions. With 80+ JEs per month in T&E alone, and many more across GFS, this results in significant time consumption, increased operational workload, and a higher likelihood of human error. The manual nature of the process also slows down period-end close activities and limits teams’ ability to focus on analysis and strategic tasks. These inefficiencies clearly demonstrate the need for automation to improve accuracy, accelerate processing, and free up valuable resources.","1. Reduces JE posting time from 10–15 minutes to just a few minutes. 
2. Automated validations reduce data-entry errors and inconsistencies.
3. Accelerates JE throughput, reducing bottlenecks during Monthend close.
4.Reduces burnout associated with repetitive manual work.
5. Scalable within Finance","Intelligent Document Processing","Sonam A Verma","Business Operations, Delivery & Enablement","Idea","Help Needed","No Vendor Identified","No Product Identified","","12/8/2025 6:56 AM","Sonam A Verma","Not a Priority","Finance","Accounts Payable/Expense","486","12/16/2025 10:15 AM","Tilak Jaiswal","False","True","Owner"
"","Integration Team SQL iHUB Agent for troubleshooting and running metrics for various Integrations","Integrations iHUB Expert","iHUB is a SQL Database server managed by the Integration team to store and maintain datasets used by various  integration applications. This database contains current and historical data assets, from source to target staging tables, audit logs, process queues to cross-reference lookup data related to enterprise integrations.","Developers can use it to troubleshoot integration issues and discover and implement bug fixes as well as build more effective and efficient SQL queries.  Business Analysts and Product Owners can use it to analyse integration data for performance metrics. QA Teams can use it to build queries and generate automated test scripts for source to target data validation. ","Having this agent can accelerate these tasks especially in the production environment. because iHUB has information which can be used for troubleshooting as well as data analysis and data metrics by different personas without the need for SQL expertise or skillset.","Data Extraction,Conversational AI,Information Retrieval,Knowledge Graphs & Reasoning","Bey Calderon","Business Operations, Delivery & Enablement,Data and Analytics,Software Engineering & UI/UX,Quality Assurance & Test & Systems Administration","Idea","Not Started","Google","Custom AI API","","12/2/2025 4:23 PM","Bey Calderon","Not a Priority","Enterprise Solutions and Experience","IT Strategy and Transformation","485","12/2/2025 4:24 PM","svcSharepointOnlinePS","False","True","Owner"
"","Slack AI Pilot","Pilot program to evaluate native Slack AI features including Slack AI Bot, Summaries, and Enterprise Search","AI is being used to enhance communication and productivity inside Slack by providing intelligent assistance out of the box. The pilot will test native Slack AI features such as the Slack AI Bot, automated conversation summaries, enhanced enterprise search, and the evolving Slackbot assistant. These tools aim to streamline workflows, reduce manual effort, and improve decision-making across teams.","Employees spend significant time searching for context, navigating long threads, and drafting repetitive updates. Native Slack AI features directly address these challenges:

- Summaries condense long conversations into key points.
- Enterprise Search surfaces the most relevant information quickly.
- Slack AI Bot provides contextual assistance and content generation.
- Next‑Gen Slackbot evolves into a proactive AI companion.

These capabilities are being rolled out by Slack as part of its roadmap, making this pilot an opportunity to evaluate their impact before full enterprise adoption.","- Improved productivity by reducing time spent searching and summarizing
- Enhanced collaboration through clearer communication and contextual insights
- Time savings for employees by automating repetitive tasks
- Scalable knowledge management with enterprise search and AI assistance
- Early adoption advantage by piloting Slack’s native AI roadmap features

The pilot will be available to 300 U Krewers, providing a representative sample to assess adoption, usability, and measurable business impact.","Conversational AI","Diana Estrada","U Krewer","Idea","Not Started","Slack","No Product Identified","","12/2/2025 3:11 PM","Diana Estrada","Not a Priority","Enterprise Solutions and Experience","DEX & Platform Engineering","484","12/12/2025 4:57 PM","Diana Estrada","False","True","Owner"
"","Frances Test","Testing AI Hub Submission","test","test","test","Information Retrieval","Frances Hopple","Data and Analytics","Diagnose","On-Track","Google","NotebookLM","","12/2/2025 11:40 AM","Frances Hopple","Not a Priority","Enterprise Solutions and Experience","Enterprise AI","483","12/2/2025 12:15 PM","Frances Hopple","False","False","Champion"
